DBN,School_Name,Neighborhood,MeanScore,Leadership_Count,Teacher_Count,Other_Staff_Count,Total_Staff,Male_Teacher_Percentage,Female_Teacher_Percentage,Student_Teacher_Ratio,Leadership_Teacher_Ratio,Support_Staff_Ratio,Avg_Years_Title,Avg_Years_School,Asian_Percent,Black_Percent,Hispanic_Percent,White_Percent,Performance
77Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ART,Southwest Queens,72.37555555555555,3.0,40.0,11.0,54.0,35.0,65.0,3.969117647058823,0.075,0.2037037037037037,13.665,8.469999999999999,27.59117647058824,7.495882352941177,44.82470588235294,20.08823529411765,High
71M282,URBAN ASSEMBLY MAKER ACADEMY,Lower Manhattam,66.35666666666667,4.0,46.0,7.0,57.0,34.7826087,65.2173913,2.183574879227053,0.0869565217391304,0.1228070175438596,6.426086956599999,2.3130434783,3.915,33.47777777777778,52.485,10.121666666666666,Medium
08X537,BRONX ARENA HIGH SCHOOL,Pelham - Throgs Neck,64.06416666666667,2.0,14.0,2.0,18.0,50.0,50.0,1.862244897959184,0.1428571428571428,0.1111111111111111,12.95,7.05,0.0,21.844285714285714,78.1557142857143,0.0,Medium
72X299,ASTOR COLLEGIATE ACADEMY,Northeast Bronx,63.250555555555565,3.0,32.0,10.0,45.0,50.0,50.0,3.940972222222223,0.09375,0.2222222222222222,11.8,8.1,5.626111111111111,32.15611111111111,51.392222222222216,10.825555555555557,Medium
77Q575,ACADEMY OF AMERICAN STUDIES,Long Island City - Astoria,75.11,7.0,74.0,17.0,98.0,28.37837838,71.62162162,2.762012012012012,0.0945945945945946,0.173469387755102,11.3513513514,6.69459459464,19.994444444444444,1.5811111111111111,45.27555555555556,33.14555555555555,High
73K670,BENJAMIN BANNEKER ACADEMY,Downtown - Heights - Park Slope,70.5681746031746,5.0,48.0,17.0,70.0,33.33333333,66.66666667,3.715625,0.1041666666666666,0.2428571428571428,12.10000000009,7.566666666650001,2.142,83.01,14.728,0.1205,High
77Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,West Queens,69.26333333333334,5.0,49.0,15.0,69.0,57.14285714,42.85714286,3.689342403628117,0.1020408163265306,0.217391304347826,14.41428571428,10.62857142856,6.286666666666666,5.650555555555556,85.64111111111112,2.420555555555556,High
71M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,Gramercy Park - Murray Hill,62.14277777777778,3.0,15.0,4.0,22.0,33.33333333,66.66666667,4.8235294117647065,0.2,0.1818181818181818,10.46666666661,7.13333333327,0.0,0.3094117647058823,99.69058823529411,0.0,Low
72X404,SCHOOL FOR EXCELLENCE,High Bridge - Morrisania,60.17433333333333,2.0,16.0,8.0,26.0,43.75,56.25,4.143382352941177,0.125,0.3076923076923077,12.5875,5.5875,0.0,28.70705882352941,71.29294117647059,0.0,Low
72X434,BELMONT PREPARATORY HIGH SCHOOL,Fordham - Bronx Park,65.90277777777779,3.0,25.0,11.0,39.0,44.0,56.0,4.246666666666667,0.12,0.282051282051282,15.143999999999998,9.504,1.2505555555555554,20.88055555555556,77.86888888888888,0.0,Medium
71M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,Union Square - Lower East Side,69.04444444444444,6.0,44.0,14.0,64.0,59.09090909,40.90909091,2.7790404040404035,0.1363636363636363,0.21875,11.98181818184,7.790909090920001,21.890555555555554,40.06111111111111,36.62388888888889,1.4233333333333331,High
76R445,PORT RICHMOND HIGH SCHOOL,Port Richmond,62.147777777777776,10.0,128.0,47.0,185.0,36.71875,63.28125,3.458767361111111,0.078125,0.254054054054054,10.8484375,8.0078125,6.419444444444444,23.135,52.805,17.641111111111112,Medium
72X509,HIGH SCHOOL OF LANGUAGE AND INNOVATION,Northeast Bronx,62.59722222222223,3.0,30.0,6.0,39.0,40.0,60.0,3.3611111111111103,0.1,0.1538461538461538,7.720000000000001,4.3,11.592222222222222,3.39,69.05000000000001,15.967777777777778,Medium
73K751,ACADEMY FOR HEALTH CAREERS,Bedford Stuyvesant - Crown Heights,63.74811111111111,3.0,18.0,3.0,24.0,44.44444444,55.55555556,3.8333333333333335,0.1666666666666666,0.125,10.94444444472,5.822222222199999,0.0,85.66882352941175,13.99235294117647,0.3394117647058823,Medium
73K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,Canarsie - Flatlands,58.99190476190477,3.0,17.0,8.0,28.0,41.17647059,58.823529410000006,5.198879551820728,0.1764705882352941,0.2857142857142857,16.800000000030003,6.5176470588800015,0.0,90.09238095238096,9.907619047619049,0.0,Low
71M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,Lower Manhattan,69.90355555555556,4.0,47.0,7.0,58.0,51.06382979,48.93617021,3.057571964956196,0.0851063829787234,0.1206896551724138,9.58510638294,6.18723404252,19.29470588235294,25.93,54.77352941176471,0.0,High
73K404,ACADEMY FOR YOUNG WRITERS,Canarsie - Flatlands,62.286111111111104,2.0,51.0,11.0,64.0,27.45098039,72.54901961,2.196078431372549,0.0392156862745098,0.171875,8.782352941060001,4.80784313727,0.535,71.49277777777777,27.806666666666665,0.1661111111111111,Medium
72X251,EXPLORATIONS ACADEMY H.S.,Crotona - Tremont,58.71888888888889,3.0,27.0,10.0,40.0,44.44444444,55.55555556,3.2386831275720165,0.1111111111111111,0.25,9.18888888896,5.02222222212,0.0,22.046666666666667,77.95333333333333,0.0,Low
71M534,HARVEST COLLEGIATE HIGH SCHOOL,Chelsea - Clinton,73.77333333333333,3.0,37.0,5.0,45.0,37.83783784,62.16216216,2.977477477477478,0.081081081081081,0.1111111111111111,9.4108108108,4.1675675676,1.2,25.78,54.91,18.11,High
